CommentDate,Date,RestaurantName,Comment,Address
2023-09-14,2023-09-16,Da Andrea,Everything was excellent! The food ms he service was above and beyondArtichoke Ravioli,"35 W 13th St New York, NY 10011"
2023-09-12,2023-09-16,Da Andrea,"service was great & food was spectacular! definitely try out the fresh baked buns with prosciutto. the texture of the buns was so chewy, with cheese and prosciutto to complement it!","35 W 13th St New York, NY 10011"
2023-09-11,2023-09-16,Da Andrea,"If you are looking for a warm evening with no frills, this is the place to be. The food was absolutely fantastic. The ambiance was the perfect warm atmosphere. But the most impressionable aspect about our visit here was the hospitality. Sidy, the manager, was very attentive to our needs and tried his absolute best to get us the best table he could. Kadir, our waiter, was very polite and available to help us anytime.They somehow perfected the art of making a staple classic, Spaghetti Bolognese, and their Ravioli will leave me sleeping well at night. Not only that, they provided us with a free dessert to top it all off. A perfect night for our visit in the city before we run our New York Fashion Week show.","35 W 13th St New York, NY 10011"
2023-09-11,2023-09-16,Da Andrea,"Would definitely recommend Da Andrea! We sat outside on a hot and humid evening and were pleasantly surprised how comfortable it was, they had fans blowing. We all got different types of pasta and pizza and enjoyed trying everyone's plate! Top favorites were the spaghetti carbonara and gnocchi. Our service was okay, but overall had a wonderful time!","35 W 13th St New York, NY 10011"
2023-09-10,2023-09-16,Da Andrea,nice food! really liked the spinach ravioli  amazing service and nice outside seating:),"35 W 13th St New York, NY 10011"
2023-09-10,2023-09-16,Da Andrea,"really good food and 10/10 service! the octopus was yummy and good vibes too, highly recommend!!","35 W 13th St New York, NY 10011"
2023-09-10,2023-09-16,Da Andrea,"This gorgeous restaurant is just by Parsons, and I have always found the floral decor to be so enchanting and inviting. Service was fast even though it was a busy Saturday night, and our waiters were very attentive and friendly. The amount of water in my cup was never less than half.For our appetizer we ordered the Insalata Tiepida Di polipo. The octopus was tangy and slightly salty, which brought a harmonious balance between the well seasoned potatoes and zesty olives. The chopped tomatoes were juicy and warm. The sauces were also sweet and flavorful. Finally, the bread was light and fluffy, and the olive oil was a wonderful companion.I ordered the Pappardelle which was served with sweet sausage ragout and truffle oil. The pappardelle was thick and delicious, and the sauce was decent. The meat was alright, and the cheese was yummy and complemented the dish wonderfully. Overall it was good, but I'd try something else if I came back.The capri was sweet and fruity, with a nice smell and a substantial amount of alcohol. Appearance-wise, there was a small pretty flower in the drink which added to the lovely color.","35 W 13th St New York, NY 10011"
2023-09-07,2023-09-16,Da Andrea,"I brought my son and his girlfriend for her birthday after seeing a film, Tribeca Film Festival. we went for brunch. I have to say the Aqua Marina salad, which is crab meat, hearts of palm, frisée, fennel, avocado with lemon dressing is to die for!  My new favorite salad.  Perfect!.  We also had the Polenta Fungi, Fettucine al Tartufo, and the Chitarra Alla carbonara, all delicious!  The bread is also yummy.  My only complaint is because this was a birthday, I notified the restaurant after making the reservation that when I ordered dessert, I requested a candle in the dessert.  Also advised when I arrived.  The dessert came without the candle, they tried to make up for it by bringing little cookies and a pot of some type of cream, not good,, just placed on the table.  No Birthday Fanfare.  Would have been a 5 star rating except for the Birthday disappoint.","35 W 13th St New York, NY 10011"
2023-09-05,2023-09-16,Da Andrea,"Coming into the restaurant we were kindly greeted by the host Sidy who guided us to our table. Our server Tatiana was very attentive throughout the entire experience and made sure that everything was amazing. The food was top quality and had some selections that I have not seen at other Italian restaurants which was exciting to see. Overall, the entire staff provided us a magnificent dining experience that will be remembered for the next time we come to New York.","35 W 13th St New York, NY 10011"
2023-09-05,2023-09-16,Da Andrea,"Amazing food, fresh seafood, and accommodating in regards to special requests. Definitely worth a trip during a night out","35 W 13th St New York, NY 10011"
